                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91249,                 1.0093,                 1.2657,                0.50363,                0.58333,                0.48914,                0.19941,                 2.2543,                 2.5679,                 2.6937,              0.0013268,              0.0013268,              0.0013268
                     36,                0.93336,                 1.1163,                  1.272,                0.69361,                0.66667,                0.61092,                0.23686,                 1.8093,                  2.568,                 2.1928,               0.001307,               0.001307,               0.001307
                     37,                0.99253,                  1.182,                 1.3453,                0.69361,                0.66667,                0.61092,                0.23686,                 1.8093,                  2.568,                 2.1928,              0.0012872,              0.0012872,              0.0012872
                     38,                0.98793,                 1.0033,                 1.3047,                0.58543,                0.66667,                0.63166,                0.29128,                  1.812,                 2.3215,                 2.5683,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1024,                 1.3265,                 1.5209,                0.51394,                   0.75,                0.65244,                0.29255,                 1.9139,                 2.1836,                 2.7064,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0708,                 1.1742,                 1.3879,                0.54968,                   0.75,                 0.5954,                0.22652,                 2.1591,                 2.3719,                 3.1359,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95763,                0.99549,                  1.295,                0.54968,                   0.75,                 0.5954,                0.22652,                 2.1591,                 2.3719,                 3.1359,               0.001208,               0.001208,               0.001208
                     42,                 1.0771,                 1.0774,                 1.3994,                0.32934,                0.58333,                 0.4337,                0.21363,                 2.1369,                 2.3774,                 3.1845,              0.0011882,              0.0011882,              0.0011882
                     43,                0.99638,                  1.061,                 1.2785,                0.83318,                0.41628,                0.51714,                0.31628,                 1.9126,                 2.2528,                 3.0466,              0.0011684,              0.0011684,              0.0011684
                     44,                0.87036,                 1.0368,                 1.2846,                0.82249,                    0.5,                0.62628,                 0.3381,                 1.8762,                  2.043,                 2.9677,              0.0011486,              0.0011486,              0.0011486
                     45,                0.92727,                 0.9647,                 1.3012,                0.82249,                    0.5,                0.62628,                 0.3381,                 1.8762,                  2.043,                 2.9677,              0.0011288,              0.0011288,              0.0011288
                     46,                0.90988,                 1.0179,                 1.2792,                0.95335,                    0.5,                0.69164,                0.37681,                 1.9008,                 2.1568,                 2.9777,               0.001109,               0.001109,               0.001109
                     47,                0.87711,                 0.8701,                 1.2117,                0.71913,                0.85451,                0.85181,                 0.4102,                 1.8317,                 2.1863,                 2.7008,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.092,                 1.0013,                 1.3994,                0.88304,                   0.75,                0.83566,                0.39591,                 1.8175,                 2.0889,                 2.6907,              0.0010694,              0.0010694,              0.0010694
                     49,                0.90628,                0.92089,                 1.3498,                0.88304,                   0.75,                0.83566,                0.39591,                 1.8175,                 2.0889,                 2.6907,              0.0010496,              0.0010496,              0.0010496
                     50,                0.95706,                0.95286,                  1.313,                      1,                0.81424,                0.87977,                0.39184,                 1.9031,                 2.0536,                 2.9564,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0021,                0.89495,                 1.2797,                0.95164,                   0.75,                0.82028,                 0.4063,                 1.8723,                 2.1872,                 3.0587,                0.00101,                0.00101,                0.00101
                     52,                  1.023,                  0.959,                 1.3212,                0.85458,                   0.75,                0.70792,                0.39048,                 1.8722,                 2.0939,                 3.0885,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88115,                0.87716,                  1.179,                0.85458,                   0.75,                0.70792,                0.39048,                 1.8722,                 2.0939,                 3.0885,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98195,                 0.9401,                 1.3562,                0.89812,                0.73594,                0.71813,                0.41959,                 1.8803,                 2.0592,                 3.1741,              0.0009506,              0.0009506,              0.0009506
                     55,                0.89728,                0.98808,                  1.311,                0.97907,                0.83333,                0.89421,                0.43467,                 1.8037,                 2.1405,                 3.0381,              0.0009308,              0.0009308,              0.0009308
                     56,                0.77246,                0.78085,                 1.1448,                0.88946,                0.91667,                0.97233,                 0.5143,                 1.5988,                 2.1405,                 2.6239,               0.000911,               0.000911,               0.000911
                     57,                0.85138,                0.84983,                 1.3031,                0.88946,                0.91667,                0.97233,                 0.5143,                 1.5988,                 2.1405,                 2.6239,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9217,                0.86461,                  1.255,                0.87963,                0.91667,                0.96167,                0.48117,                 1.6748,                 2.1759,                 2.6289,              0.0008714,              0.0008714,              0.0008714
                     59,                0.86283,                0.86849,                 1.2079,                0.96726,                0.91667,                  0.963,                0.45685,                 1.7358,                 1.8567,                 2.6674,              0.0008516,              0.0008516,              0.0008516
